,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
388,2018-0114,1,2018-10-30,2,Solis e Independencia Av.,AVENIDA,1,-58.39032921,-34.61807951,MOTO,AUTO
389,2018-0115,1,2018-10-31,12,"Bosch, Ventura y Paz, Gral. Av.",CALLE,9,-58.52887773,-34.64297861,PEATON,PASAJEROS
390,2018-0116,1,2018-11-01,10,"Paz, Gral. Av. 14800",GRAL PAZ,8,-58.49371157,-34.67981324,PEATON,CARGAS
391,2018-0117,1,2018-11-04,8,Av. Eva Perón 5321,AVENIDA,9,-58.48266599,-34.66012327,MOTO,MOTO
392,2018-0118,1,2018-11-05,14,"Peron, Juan Domingo, Tte. General y Pueyrredon Av.",AVENIDA,3,-58.40612253,-34.60774301,PEATON,MOTO
393,2018-0119,1,2018-11-05,22,Rabanal y San Pedrito,AVENIDA,8,-58.43613623,-34.66292532,PEATON,SD
394,2018-0120,1,2018-11-09,13,Monroe y Alvarez Thomas Av.,AVENIDA,12,-58.48250732,-34.57208238,PEATON,AUTO
395,2018-0121,1,2018-11-09,16,Rivadavia Av. y Manzoni,AVENIDA,10,-58.49945705,-34.6374328,PEATON,PASAJEROS
396,2018-0122,1,2018-11-12,1,AU Dellepiane Luis Tte. Gral. y Larrazabal,AUTOPISTA,8,-58.47743966,-34.67233407,AUTO,AUTO
397,2018-0123,1,2018-11-12,3,"Paz, Gral. Av. y Peron, Eva Av.",GRAL PAZ,9,-58.5025179,-34.67450313,AUTO,SD
398,2018-0124,1,2018-11-15,19,AU Perito Moreno y Reservistas Argentinos,AUTOPISTA,9,-58.52144411,-34.63682499,CARGAS,CARGAS
399,2018-0125,1,2018-11-16,21,Saenz Av. y Ventana,AVENIDA,4,-58.41650465,-34.65084045,PEATON,PASAJEROS
400,2018-0126,1,2018-11-18,12,Avda. General Paz y Cnel. Ramón Falcón,GRAL PAZ,9,-58.52994219,-34.64055918,MOTO,AUTO
401,2018-0127,1,2018-11-19,9,Av. Gral. Paz y Av. de los Constituyentes,GRAL PAZ,12,-58.50993046,-34.56919739,MOTO,MOTO
402,2018-0128,2,2018-11-25,4,"Paz, Gral. Av. 11200",GRAL PAZ,9,-58.52844623,-34.64592873,AUTO,PASAJEROS
403,2018-0129,1,2018-11-28,4,"Newbery, Jorge Av. y Guevara",AVENIDA,15,-58.45021367,-34.58695347,MOTO,PASAJEROS
404,2018-0130,1,2018-12-03,3,Gaona Av. y Segurola Av.,AVENIDA,10,-58.49022072,-34.62770192,MOTO,PASAJEROS
405,2018-0131,1,2018-12-07,19,"Madero, Eduardo Av. 550",AVENIDA,1,-58.36860866,-34.60106568,MOTO,CARGAS
