,ID,Cantidad de victimas,Fecha,HH,Tipo De Calle,Comuna,Long,Lat,Vehiculo Acusado,ROL,Vehiculo Victima,Sexo,Edad
156,2017-0021,1,2017-02-18,5,CALLE,1,-58.38362373,-34.60509972,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,43
157,2017-0024,1,2017-02-23,20,AVENIDA,7,-58.46589308,-34.62955795,PASAJEROS,PEATON,PEATON,MASCULINO,39
158,2017-0025,1,2017-02-24,17,AVENIDA,7,-58.43614426,-34.6542464,SD,CONDUCTOR,MOTO,MASCULINO,23
159,2017-0026,2,2017-02-26,5,AVENIDA,4,-58.41842777,-34.64979057,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23
160,2017-0026,2,2017-02-26,5,AVENIDA,4,-58.41842777,-34.64979057,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,19
161,2017-0027,1,2017-02-26,21,AVENIDA,1,-58.38332245,-34.6319325,AUTO,PEATON,PEATON,MASCULINO,0
162,2017-0028,1,2017-02-28,9,AVENIDA,6,-58.45475488,-34.61196327,AUTO,PEATON,PEATON,MASCULINO,87
163,2017-0029,1,2017-03-07,2,CALLE,9,-58.48501341,-34.64742455,AUTO,SD,SD,MASCULINO,34
164,2017-0030,1,2017-03-07,8,AVENIDA,9,-58.47010988,-34.65872088,PASAJEROS,CONDUCTOR,AUTO,FEMENINO,27
165,2017-0031,1,2017-03-11,1,CALLE,3,-58.4099756,-34.62873635,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70
166,2017-0032,1,2017-03-12,5,GRAL PAZ,8,-58.48892175,-34.68359163,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40
167,2017-0033,1,2017-03-12,7,GRAL PAZ,11,-58.52466448,-34.60325478,AUTO,CONDUCTOR,AUTO,MASCULINO,28
168,2017-0034,1,2017-03-13,7,CALLE,14,-58.42554218,-34.57929036,AUTO,PEATON,PEATON,MASCULINO,43
169,2017-0035,3,2017-03-23,5,AVENIDA,1,-58.35881506,-34.61113641,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,28
170,2017-0035,3,2017-03-23,5,AVENIDA,1,-58.35881506,-34.61113641,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32
171,2017-0035,3,2017-03-23,5,AVENIDA,1,-58.35881506,-34.61113641,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
172,2017-0036,2,2017-03-29,18,GRAL PAZ,12,-58.51452347,-34.58159762,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,0
173,2017-0036,2,2017-03-29,18,GRAL PAZ,12,-58.51452347,-34.58159762,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,20
174,2017-0037,1,2017-03-31,3,AVENIDA,1,-58.38896772,-34.61799615,CARGAS,CONDUCTOR,MOTO,MASCULINO,41
175,2017-0038,1,2017-04-01,19,AVENIDA,7,-58.44516857,-34.64363363,AUTO,CONDUCTOR,MOTO,FEMENINO,40
176,2017-0040,1,2017-04-03,9,AVENIDA,13,-58.43834197,-34.54560369,MULTIPLE,CONDUCTOR,AUTO,MASCULINO,43
177,2017-0041,1,2017-04-03,23,CALLE,7,-58.45485084,-34.63531854,AUTO,CONDUCTOR,MOTO,MASCULINO,17
178,2017-0045,1,2017-04-14,6,CALLE,10,-58.52449285,-34.62454175,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,21
179,2017-0047,1,2017-04-23,6,AVENIDA,8,-58.46713742,-34.6719879,AUTO,CONDUCTOR,MOTO,MASCULINO,37
180,2017-0049,1,2017-04-27,18,AVENIDA,8,-58.43850413,-34.65554754,PASAJEROS,PEATON,PEATON,MASCULINO,22
181,2017-0052,1,2017-05-05,3,GRAL PAZ,8,-58.49413799,-34.68095739,CARGAS,PEATON,PEATON,FEMENINO,47
182,2017-0053,1,2017-05-05,20,CALLE,4,-58.37547846,-34.65326075,CARGAS,CONDUCTOR,MOTO,MASCULINO,28
183,2017-0054,1,2017-05-07,21,AVENIDA,15,-58.48680218,-34.58689719,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20
184,2017-0055,1,2017-05-09,8,AVENIDA,12,-58.49563989,-34.57962262,AUTO,CONDUCTOR,AUTO,MASCULINO,32
185,2017-0058,1,2017-05-09,23,AVENIDA,1,-58.38403232,-34.5991594,MOTO,PEATON,PEATON,MASCULINO,80
186,2017-0059,1,2017-05-11,9,CALLE,1,-58.38223382,-34.62693865,PASAJEROS,PEATON,PEATON,FEMENINO,39
187,2017-0060,1,2017-05-13,7,AVENIDA,8,-58.45966521,-34.67323292,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
188,2017-0061,1,2017-05-15,13,AVENIDA,2,-58.39303911,-34.59871111,MOTO,PEATON,PEATON,MASCULINO,47
189,2017-0062,1,2017-05-15,16,AVENIDA,10,-58.51262106,-34.63395999,CARGAS,CONDUCTOR,MOTO,MASCULINO,35
190,2017-0063,1,2017-05-17,10,AVENIDA,1,-58.38118367,-34.61646839,PASAJEROS,PEATON,PEATON,FEMENINO,79
191,2017-0064,1,2017-05-20,5,CALLE,1,-58.37653284,-34.60582475,AUTO,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61
192,2017-0065,1,2017-05-22,16,AVENIDA,4,-58.37709334,-34.64035082,CARGAS,CICLISTA,BICICLETA,MASCULINO,21
193,2017-0066,1,2017-05-22,18,AVENIDA,15,-58.46002142,-34.60409469,PASAJEROS,PEATON,PEATON,MASCULINO,10
194,2017-0067,1,2017-05-23,2,AVENIDA,6,-58.4338197,-34.62801894,CARGAS,CONDUCTOR,MOTO,MASCULINO,21
195,2017-0068,1,2017-05-27,19,AVENIDA,8,-58.43580656,-34.66437532,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,32
196,2017-0069,1,2017-05-24,14,GRAL PAZ,9,-58.52173071,-34.65997463,SD,CONDUCTOR,MOTO,MASCULINO,39
197,2017-0070,1,2017-05-30,13,CALLE,11,-58.50791763,-34.59804273,AUTO,PEATON,PEATON,MASCULINO,80
198,2017-0072,1,2017-06-03,23,AVENIDA,12,-58.49175088,-34.58226957,AUTO,CONDUCTOR,AUTO,MASCULINO,25
199,2017-0073,1,2017-06-04,9,AVENIDA,3,-58.40781467,-34.60425669,AUTO,CONDUCTOR,MOTO,MASCULINO,19
200,2017-0074,1,2017-06-04,12,CALLE,9,-58.52567073,-34.63787791,SD,SD,SD,MASCULINO,70
201,2017-0075,1,2017-06-12,22,AVENIDA,1,-58.381542,-34.60906385,MOTO,PEATON,PEATON,MASCULINO,55
202,2017-0076,1,2017-06-13,14,AVENIDA,2,-58.38526125,-34.5780581,CARGAS,PEATON,PEATON,FEMENINO,30
203,2017-0077,1,2017-06-17,23,CALLE,14,-58.42934104,-34.58451712,CARGAS,CONDUCTOR,MOTO,FEMENINO,60
204,2017-0079,1,2017-06-19,16,CALLE,3,-58.40657493,-34.61781124,CARGAS,CONDUCTOR,MOTO,MASCULINO,33
205,2017-0080,1,2017-06-22,10,AVENIDA,9,-58.49525314,-34.64487785,CARGAS,PEATON,PEATON,FEMENINO,95
206,2017-0082,1,2017-06-25,22,AVENIDA,4,-58.39092851,-34.62932696,AUTO,PEATON,PEATON,MASCULINO,36
207,2017-0083,1,2017-07-04,0,AVENIDA,9,-58.49603546,-34.64564271,CARGAS,CONDUCTOR,MOTO,MASCULINO,37
208,2017-0084,1,2017-07-05,12,AVENIDA,2,-58.38502878,-34.58703485,PASAJEROS,PEATON,PEATON,FEMENINO,73
209,2017-0085,1,2017-07-07,14,AVENIDA,4,-58.37261143,-34.63150425,PASAJEROS,PEATON,PEATON,MASCULINO,84
210,2017-0086,1,2017-07-09,7,AVENIDA,9,-58.51876802,-34.63905965,MOTO,PEATON,PEATON,FEMENINO,30
